dataSource,stepID,screenshotPath,text,contentDescription,idXml,type
CrashScope-Execution-1.json,1,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_1_augmented.png,Setup GnuCash,,,TextView
CrashScope-Execution-1.json,1,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_1_augmented.png,Welcome to GnuCash,,title,TextView
CrashScope-Execution-1.json,1,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_1_augmented.png,"Before you dive in, 
let's setup a few things first

To continue, press Next",,,TextView
CrashScope-Execution-1.json,1,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_1_augmented.png,NEXT,,btn_save,Button
CrashScope-Execution-1.json,2,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_2_augmented.png,Setup GnuCash,,,TextView
CrashScope-Execution-1.json,2,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_2_augmented.png,Default Currency,,title,TextView
CrashScope-Execution-1.json,2,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_2_augmented.png,,,list,ListView
CrashScope-Execution-1.json,2,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_2_augmented.png,CHF,,text1,CheckedTextView
CrashScope-Execution-1.json,2,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_2_augmented.png,EUR,,text1,CheckedTextView
CrashScope-Execution-1.json,2,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_2_augmented.png,GBP,,text1,CheckedTextView
CrashScope-Execution-1.json,2,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_2_augmented.png,USD,,text1,CheckedTextView
CrashScope-Execution-1.json,2,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_2_augmented.png,Other…,,text1,CheckedTextView
CrashScope-Execution-1.json,2,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_2_augmented.png,BACK,,btn_cancel,Button
CrashScope-Execution-1.json,2,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_2_augmented.png,NEXT,,btn_save,Button
CrashScope-Execution-1.json,3,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_3_augmented.png,Setup GnuCash,,,TextView
CrashScope-Execution-1.json,3,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_3_augmented.png,Account Setup,,title,TextView
CrashScope-Execution-1.json,3,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_3_augmented.png,,,list,ListView
CrashScope-Execution-1.json,3,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_3_augmented.png,Create default accounts,,text1,CheckedTextView
CrashScope-Execution-1.json,3,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_3_augmented.png,Import my accounts,,text1,CheckedTextView
CrashScope-Execution-1.json,3,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_3_augmented.png,Let me handle it,,text1,CheckedTextView
CrashScope-Execution-1.json,3,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_3_augmented.png,BACK,,btn_cancel,Button
CrashScope-Execution-1.json,3,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_3_augmented.png,NEXT,,btn_save,Button
CrashScope-Execution-1.json,4,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_4_augmented.png,Setup GnuCash,,,TextView
CrashScope-Execution-1.json,4,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_4_augmented.png,Feedback Options,,title,TextView
CrashScope-Execution-1.json,4,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_4_augmented.png,,,list,ListView
CrashScope-Execution-1.json,4,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_4_augmented.png,Automatically send crash reports,,text1,CheckedTextView
CrashScope-Execution-1.json,4,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_4_augmented.png,Disable crash reports,,text1,CheckedTextView
CrashScope-Execution-1.json,4,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_4_augmented.png,BACK,,btn_cancel,Button
CrashScope-Execution-1.json,4,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_4_augmented.png,NEXT,,btn_save,Button
CrashScope-Execution-1.json,5,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_5_augmented.png,Setup GnuCash,,,TextView
CrashScope-Execution-1.json,5,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_5_augmented.png,Feedback Options,,title,TextView
CrashScope-Execution-1.json,5,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_5_augmented.png,,,list,ListView
CrashScope-Execution-1.json,5,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_5_augmented.png,Automatically send crash reports,,text1,CheckedTextView
CrashScope-Execution-1.json,5,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_5_augmented.png,Disable crash reports,,text1,CheckedTextView
CrashScope-Execution-1.json,5,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_5_augmented.png,BACK,,btn_cancel,Button
CrashScope-Execution-1.json,5,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_5_augmented.png,NEXT,,btn_save,Button
CrashScope-Execution-1.json,6,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_6_augmented.png,Setup GnuCash,,,TextView
CrashScope-Execution-1.json,6,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_6_augmented.png,Review,,title,TextView
CrashScope-Execution-1.json,6,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_6_augmented.png,,,list,ListView
CrashScope-Execution-1.json,6,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_6_augmented.png,DEFAULT CURRENCY,,text1,TextView
CrashScope-Execution-1.json,6,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_6_augmented.png,USD,,text2,TextView
CrashScope-Execution-1.json,6,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_6_augmented.png,ACCOUNT SETUP,,text1,TextView
CrashScope-Execution-1.json,6,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_6_augmented.png,Create default accounts,,text2,TextView
CrashScope-Execution-1.json,6,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_6_augmented.png,FEEDBACK OPTIONS,,text1,TextView
CrashScope-Execution-1.json,6,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_6_augmented.png,Automatically send crash reports,,text2,TextView
CrashScope-Execution-1.json,6,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_6_augmented.png,BACK,,btn_cancel,Button
CrashScope-Execution-1.json,6,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_6_augmented.png,DONE,,btn_save,Button
CrashScope-Execution-1.json,7,org.gnucash.android.Top_Down.Expected..1.org.gnucash.android_2.1.3_7_augmented.png,,,,ImageButton
