id, gt, coala
72576, add <UNK> <UNK> <UNK> and other <UNK>, increase day
10454, go to the previous page, <UNK> <UNK>
26693, go to the previous page, <UNK> <UNK>
25043, list play list <UNK>, open menu
41720, play or pause audio, video play
6643, list play list <UNK>, menu
13727, <UNK> repeat mode, cancel
10614, in text photo, <UNK> jug
20184, in text photo, desk
15344, close navigation drawer, add call
19719, <UNK> item menu, more option
53237, remove <UNK> date, close
81287, close navigation drawer, close
76342, close side menu, main <UNK> button
1312, close side menu, main <UNK> button
36413, show previous, <UNK> <UNK>
36205, sound off, setting
94329, navigate up, main menu closed
48968, image <UNK>, ok
2026, image <UNK>, ok
72078, photo <UNK>, <UNK> <UNK> <UNK> <UNK>
13791, add <UNK>, increase <UNK>
10424, photo <UNK>, <UNK> <UNK> <UNK> 2017
8602, audio <UNK>, more option
75051, navigate up, navigate up
89513, navigate up, submit query
30060, navigate up, back
31325, navigate up, submit query
18346, more <UNK>, more option
87371, my <UNK>, more option
88880, previous month, navigate up
26944, new <UNK>, add
17343, navigate up, <UNK> to <UNK>
9630, english, add image
23307, collapse, ok
16141, more, more option
55830, menu, select
59502, add, add a item
20073, back, submit query
28696, add, add a item
40845, pause, information
37229, back, back
86013, email, <UNK> image
51780, back, back
90699, picture, <UNK> of 16 <UNK>
85969, download, download
44969, profile, search
11741, search, search
7107, skip, next
83219, search, back
85301, close, add
29872, back, content desk
40919, close, add
81363, go to the previous page, <UNK> <UNK>
16539, go to the previous page, <UNK> <UNK>
56379, <UNK> rate all <UNK>, flash <UNK>
2053, <UNK> rate all <UNK>, flash <UNK>
17592, open navigation drawer, menu
23434, add an entry, casebook
11017, contact <UNK> <UNK>, <UNK> <UNK> info button
28876, more <UNK>, more option
22528, navigate up, <UNK> book
4843, my location, category image
12838, new <UNK>, increase day
68696, item 1, navigate up
65954, share item, navigate up
18340, flash <UNK>, more information
55928, navigation up, submit query
27664, audio <UNK>, more option
17316, menu, close navigation drawer
49837, download, download
50422, favorite, <UNK> to delete
23411, call, detail
91631, english, add image
47430, search, back
7749, skip, <UNK> setting
64561, forward, img
30749, refresh, <UNK> <UNK> en <UNK>
60484, refresh, <UNK> <UNK> en <UNK>
41833, all, select all
49604, previous, remove
90927, help, main menu closed
36387, help, pause
17375, share, select
