id,gt,coala,content
36413, show previous, <UNK> <UNK>,show previous
5906,<unk>,,<unk>
36205, sound off, setting,sound off
13727, <UNK> repeat mode, cancel,cycle repeat mode
94329, navigate up, main menu closed,navigate up
9630, english, add image,english
48968, image <UNK>, ok,image desc
26648,launch interaction,,launch interaction
2026, image <UNK>, ok,image desc
23307, collapse, ok,collapse
16141, more, more option,more
72078, photo <UNK>, <UNK> <UNK> <UNK> <UNK>,photo posted
27329,<unk> panel,,<unk> panel
13791, add <UNK>, increase <UNK>,add exercise
72576, add <UNK> <UNK> <UNK> and other <UNK>, increase day,add <unk> and other items
10424, photo <UNK>, <UNK> <UNK> <UNK> 2017,photo posted
10614, in text photo, <UNK> jug,in text photo
20184, in text photo, desk,in text photo
8602, audio <UNK>, more option,audio actions
44295,<unk>,,<unk>
75051, navigate up, navigate up,navigate up
89513, navigate up, submit query,navigate up
30060, navigate up, back,navigate up
55830, menu, select,menu
31325, navigate up, submit query,navigate up
2767,<unk>,,<unk>
18346, more <UNK>, more option,more options
87371, my <UNK>, more option,my agenda
59502, add, add a item,add
88880, previous month, navigate up,previous month
20073, back, submit query,back
28696, add, add a item,add
40845, pause, information,pause
37229, back, back,back
86013, email, <UNK> image,email
50578,<unk>,,<unk>
51780, back, back,back
25043, list play list <UNK>, open menu,list play list sections
90699, picture, <UNK> of 16 <UNK>,picture
15344, close navigation drawer, add call,close navigation drawer
85969, download, download,download
3324,narando,,narando
26944, new <UNK>, add,new tab
96042,<unk>,,<unk>
19719, <UNK> item menu, more option,overflow item menu
44969, profile, search,profile
11741, search, search,search
7407,splashscreen,,splashscreen
53237, remove <UNK> date, close,remove return date
99187,narando,,narando
41720, play or pause audio, video play,play or pause audio
33843,narando,,narando
7107, skip, next,skip
83219, search, back,search
6643, list play list <UNK>, menu,list play list sections
85301, close, add,close
29872, back, content desk,back
40919, close, add,close
17343, navigate up, <UNK> to <UNK>,navigate up
81287, close navigation drawer, close,close navigation drawer
76342, close side menu, main <UNK> button,close side menu
1312, close side menu, main <UNK> button,close side menu
10454, go to the previous page, <UNK> <UNK>,go to the previous page
26693, go to the previous page, <UNK> <UNK>,go to the previous page
17316, menu, close navigation drawer,menu
49837, download, download,download
81363, go to the previous page, <UNK> <UNK>,go to the previous page
16539, go to the previous page, <UNK> <UNK>,go to the previous page
26174,flashlight toolkit,,flashlight toolkit
56379, <UNK> rate all <UNK>, flash <UNK>,exchange rate all currencies
2053, <UNK> rate all <UNK>, flash <UNK>,exchange rate all currencies
17592, open navigation drawer, menu,open navigation drawer
28876, more <UNK>, more option,more options
50422, favorite, <UNK> to delete,favorite
23411, call, detail,call
8339,money lover,,money lover
91631, english, add image,english
47430, search, back,search
7749, skip, <UNK> setting,skip
57092,narando,,narando
64561, forward, img,forward
22528, navigate up, <UNK> book,navigate up
30749, refresh, <UNK> <UNK> en <UNK>,refresh
4843, my location, category image,my location
23434, add an entry, casebook,add an entry
91848,<unk>,,<unk>
60484, refresh, <UNK> <UNK> en <UNK>,refresh
12838, new <UNK>, increase day,new tab
12766,<unk>,,<unk>
41833, all, select all,all
11017, contact <UNK> <UNK>, <UNK> <UNK> info button,contact us icons
49604, previous, remove,previous
68696, item 1, navigate up,item 1
65954, share item, navigate up,share item
90927, help, main menu closed,help
36387, help, pause,help
18340, flash <UNK>, more information,flash selfie
55928, navigation up, submit query,navigation up
17375, share, select,share
27664, audio <UNK>, more option,audio actions
