id, gt, coala
74463, go to the previous page, the <UNK> <UNK>
35885, list play list <UNK>, option
27932, <UNK> rate all <UNK>, call id <UNK>
44840, list play list <UNK>, menu
4339, <UNK> repeat mode, share
2850, in text photo, <UNK> <UNK> number
41521, in text photo, more option
74687, close navigation drawer, share
48603, remove <UNK> date, clear edit box
81031, add an entry, casebook
88141, contact <UNK> <UNK>, more
81715, show previous, desk
67450, sound off, decrease day
9610, image <UNK>, add to home
60716, photo <UNK>, more option
75954, add <UNK>, increase <UNK>
61291, photo <UNK>, desk
30814, my <UNK>, more option
12834, new <UNK>, add
78048, navigate up, <UNK> on
73531, more <UNK>, more option
12849, navigate up, <UNK> book
48235, my location, category image
84295, new <UNK>, plus
49766, flash <UNK>, more option
86644, show previous, desk
80688, sound off, decrease day
20597, navigate up, submit query
1037, audio <UNK>, more option
7198, navigate up, submit query
12961, more, more option
5286, menu, button with <UNK> go
85771, add, add a item
10733, back, back
85206, pause, information
3749, email, <UNK> image
92634, picture, menu
55596, download, save
18332, search, search
35511, close, add <UNK>
61256, back, close navigation
34971, favorite, travel <UNK> wallpaper jug
62290, english, share
20489, skip, button
95438, forward, call id <UNK>
96980, refresh, <UNK> <UNK> en <UNK>
56134, refresh, <UNK> <UNK> en <UNK>
6660, all, select frame from frame
38676, previous, change camera
25990, share, button
52851, collapse, ok
67961, menu, button with <UNK> go
52170, play or pause audio, video play
3570, close side menu, main <UNK> mail
94498, open navigation drawer, main menu closed
10078, contact <UNK> <UNK>, <UNK> <UNK> info button
51569, more <UNK>, more option
15203, previous month, back
2945, item 1, back
50603, share item, back
4126, navigate up, back
41844, audio <UNK>, more option
77658, back, submit query
37113, pause, information
51387, email, <UNK> image
43477, back, back
31898, profile, info icon
99758, skip, more information
62098, all, <UNK> in
86273, previous, favourite
71432, help, radio
24526, help, <UNK> to <UNK>
13764, share, button
