P_SR_ACTIONS_INF;ActionsInfinitivePP
P_SR_LABELED_LIST;LabeledListPP
S_SR_COND_OBS;ConditionalObsBehaviorPP
S_SR_IMPERATIVE_SEQUENCE;ImperativeSequencePP
P_SR_ACTIONS_MULTI_OBS_BEHAVIOR;ActionsMultiPP
S_SR_ACTIONS_SEPARATOR;ActionsSeparatorPP
S_SR_SIMPLE_PAST;SimplePastPP
S_SR_SIMPLE_PRESENT_SUBORDINATES;SimplePresentSubordinatesPP

S_OB_ERROR_NOUN_PHRASE;ErrorNounPhrasePP
S_OB_NEG_AUX_VERB;NegativeAuxVerbPP
S_OB_NEG_COND;NegativeConditionalPP
S_OB_VERB_ERROR;VerbErrorPP
S_OB_NEG_VERB;NegativeVerbPP
S_OB_OUTPUT_VERB;OutputVerbPP
S_OB_PASSIVE_VOICE;PassiveVoicePP
S_OB_COND_POS;ConditionalPositivePP
S_OB_NEG_ADV_ADJ;NegativeAdjOrAdvPP
S_SR_GERUND_ACTION;GerundActionPP
