"Participant","Session","MsgId","Type","Messages","CurrentAction","NextIntents","ResponseNextMsg?","ResponseMsgId","ResponseMessages","ResponseCurrentAction","ResponseNextIntents","App","AppVersion"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","1","user","P1","","","y","2","Hi P1; please <b>select the app</b> that is having the problem","SELECT_APP","APP_SELECTED","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","2","bot","Hi P1; please <b>select the app</b> that is having the problem","SELECT_APP","APP_SELECTED","y","3","; selectedValues = 2","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","3","user","; selectedValues = 2","","","y","4","Okay; please tell me the <b>incorrect behavior</b> that you observed on Android Token","CONFIRM_APP","OB_DESCRIPTION","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","4","bot","Okay; please tell me the <b>incorrect behavior</b> that you observed on Android Token","CONFIRM_APP","OB_DESCRIPTION","y","5","The app stopped after trying to delete a token","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","5","user","The app stopped after trying to delete a token","","","y","6","Oops; your description doesn't seem to match the language of the app. Please <b>rephrase the incorrect behavior</b> differently","REPHRASE_OB","OB_DESCRIPTION","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","6","bot","Oops; your description doesn't seem to match the language of the app. Please <b>rephrase the incorrect behavior</b> differently","REPHRASE_OB","OB_DESCRIPTION","y","7","The app stopped after trying to delete an Android token","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","7","user","The app stopped after trying to delete an Android token","","","y","8","Okay; now please tell me how the app is <b>supposed to work</b>","PROVIDE_EB","EB_DESCRIPTION","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","8","bot","Okay; now please tell me how the app is <b>supposed to work</b>","PROVIDE_EB","EB_DESCRIPTION","y","9","The app should allow to delete records","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","9","user","The app should allow to delete records","","","y","10","Okay; now I need the steps that you performed and caused the problem. Please tell me the <b>first step</b> that you performed after you opened the app","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","10","bot","Okay; now I need the steps that you performed and caused the problem. Please tell me the <b>first step</b> that you performed after you opened the app","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","y","11","I tapped the More options button","","","Android_Token","2.10"
