bug_id;first_rank;recip_rank;avg_precision;h@1;p@1;r@1;h@2;p@2;r@2;h@3;p@3;r@3;h@4;p@4;r@4;h@5;p@5;r@5
2;3;0.3333333333333333;0.3333333333333333;0;0.0;0.0;0;0.0;0.0;1;0.3333333333333333;1.0;1;0.25;1.0;1;0.2;1.0
8;1;1.0;1.0;1;1.0;1.0;1;0.5;1.0;1;0.3333333333333333;1.0;1;0.25;1.0;1;0.2;1.0
10;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
18;5;0.2;0.2;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.2;1.0
19;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
44;2;0.5;0.5;0;0.0;0.0;1;0.5;1.0;1;0.3333333333333333;1.0;1;0.25;1.0;1;0.2;1.0
53;1;1.0;1.0;1;1.0;1.0;1;0.5;1.0;1;0.3333333333333333;1.0;1;0.25;1.0;1;0.2;1.0
71;1;1.0;0.5555555555555555;1;1.0;0.3333333333333333;1;0.5;0.3333333333333333;1;0.6666666666666666;0.6666666666666666;1;0.5;0.6666666666666666;1;0.4;0.6666666666666666
117;1;1.0;1.0;1;1.0;1.0;1;0.5;1.0;1;0.3333333333333333;1.0;1;0.25;1.0;1;0.2;1.0
128;3;0.3333333333333333;0.16666666666666666;0;0.0;0.0;0;0.0;0.0;1;0.3333333333333333;0.5;1;0.25;0.5;1;0.2;0.5
129;2;0.5;0.5;0;0.0;0.0;1;0.5;1.0;1;0.3333333333333333;1.0;1;0.25;1.0;1;0.2;1.0
130;3;0.3333333333333333;0.3333333333333333;0;0.0;0.0;0;0.0;0.0;1;0.3333333333333333;1.0;1;0.25;1.0;1;0.2;1.0
135;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
191;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
201;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
206;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
209;2;0.5;0.5;0;0.0;0.0;1;0.5;1.0;1;0.3333333333333333;1.0;1;0.25;1.0;1;0.2;1.0
256;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
1073;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
1096;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
1146;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
1147;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
1151;1;1.0;1.0;1;1.0;1.0;1;0.5;1.0;1;0.3333333333333333;1.0;1;0.25;1.0;1;0.2;1.0
1202;2;0.5;0.5;0;0.0;0.0;1;0.5;1.0;1;0.3333333333333333;1.0;1;0.25;1.0;1;0.2;1.0
1205;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
1207;1;1.0;1.0;1;1.0;1.0;1;0.5;1.0;1;0.3333333333333333;1.0;1;0.25;1.0;1;0.2;1.0
1223;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
1224;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
1226;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
1299;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
1399;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
1406;5;0.2;0.2;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.2;1.0
1430;3;0.3333333333333333;0.16666666666666666;0;0.0;0.0;0;0.0;0.0;1;0.3333333333333333;0.5;1;0.25;0.5;1;0.2;0.5
1441;5;0.2;0.2;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.2;1.0
1445;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
1481;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
