bug_id;first_rank;recip_rank;avg_precision;h@1;p@1;r@1;h@2;p@2;r@2;h@3;p@3;r@3;h@4;p@4;r@4;h@5;p@5;r@5
2;4;0.25;0.65;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.25;1.0;1;0.2;1.0
8;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
10;1;1.0;1.0;1;1.0;1.0;1;0.5;1.0;1;0.3333333333333333;1.0;1;0.25;1.0;1;0.2;1.0
18;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
19;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
44;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
53;1;1.0;4.0;1;1.0;1.0;1;0.5;1.0;1;0.3333333333333333;1.0;1;0.25;1.0;1;0.2;1.0
71;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
129;3;0.3333333333333333;0.7333333333333334;0;0.0;0.0;0;0.0;0.0;1;0.3333333333333333;1.0;1;0.25;1.0;1;0.2;1.0
130;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
135;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
201;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
206;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
209;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
256;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
1073;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
1096;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
1147;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
1151;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
1202;3;0.3333333333333333;0.8333333333333333;0;0.0;0.0;0;0.0;0.0;1;0.3333333333333333;1.0;1;0.25;1.0;1;0.2;1.0
1205;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
1223;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
1224;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
1226;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
1299;4;0.25;0.25;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.25;1.0;1;0.2;1.0
1399;1;1.0;1.0;1;1.0;1.0;1;0.5;1.0;1;0.3333333333333333;1.0;1;0.25;1.0;1;0.2;1.0
1406;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
1430;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
1441;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
1445;5;0.2;0.2;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.2;1.0
