2;familyfinance;app crash when change view by in report section;-560313656;[-279572, -712242734, -560313656]
2;familyfinance;"when the user changes the appearance of the report from ""view value"" to ""use percent value"" this application will crash and stop working";;[-279572, -712242734, -560313656, -202690905, 1736171683, 293258009, -1380629247, -497691521]
2;familyfinance;see errors;;[-1483261479, -202690905, 1736171683, 293258009, -1380629247, -497691521]
8;trickytripper;NPE on create payment;1084950948;[1084950948, -593025764, 23350747, 1714901477]
10;files;FTP server restarted if app is killed after stopping it;;[-1615038563, 686380472, -323297891, -1104221283, 1740968542, 168467756, -894311662, -237225969, -605301544, -295536942]
10;files;Server restarts by its own.;;[2127973172, 127149143]
18;calendula;Can't open the add/remove medicine stock dialog;;[-1159355792, -298326862, -1619725376, 658595597, -326888783, -1825972377, -1829050599, 778872844, 325361798, 276134239, 1939648964, -930262921, 394100100, 1565867769, 1148177265, -1939629035, 2137298203, -96601036, -1804378310, -267842009, 153059599, -310613521, 1976729004, 1203681996, 411379245, -1257720460]
18;calendula;I get kicked back to the medicine screen.;658595597;[-326888783, -1159355792, -298326862, -267842009, -1619725376, 658595597, 2137298203, -1825972377, 1565867769, 394100100, 1052397577, -1984062574, 333781708, -277476192, 325361798, -96601036, -1804378310, 778872844, -1359851459, -1257720460, -324056201, 1939648964, -1545145486, -930262921]
19;streetcomplete;cursor jumps before housenumber when adding letter;;[-1782712419]
19;streetcomplete;"3. the cursor jumps before the number, so when you insert ""a"" you have ""a10"" instead of ""10a"" expected behavior";;[310092797]
21;atimetracker;Long press on a task does not show the task menu.;-697343002;[988926405, 1757884450, -1422458109, -697343002, 1741857654, 577549777]
21;atimetracker;"Empty meny shown called ""activities menu"".";-697343002;[-1422458109, -1023780967, 988926405, 1757884450, -697343002, 1741857654, 577549777]
44;omninotes;Tag text removal bug by using checkbox;-2142231540;[-1153924928, -2142231540]
44;omninotes;Tag text removal bug;-2142231540;[-1153924928, -2142231540]
44;omninotes;It seems like it will remove all tags with the same header as the deleted tag.;;[1454100765]
53;markor;New file dialogue always says Type: Markdown rather than previous type used;-1236146120;[-1236146120, 1740951905, -1407938635, 913259145, -334841365, 814378965, 1665183305, -224860639, -1616332602, -952885783, 649084109, 873691881, 1593561585, -219734076, 587060911, -1040680053, -651688056, 1128654911, 1070889027, -1656114299]
53;markor;This appears to be a cosmetic issue only - the second new file is named something.todo.txt, so the app is correctly remembering the user's last settings, but nonetheless it looks odd and confusing to the user.;-1236146120;[-219734076, 587060911, -1236146120, 1740951905, -1407938635, 913259145, -334841365, 814378965, 1665183305, -224860639, -1616332602, -952885783, 649084109, 873691881, 1593561585]
71;kiss;Favorites bar doesn't appear under specific UI settings;-106012129;[965936953, -855468870, -106012129]
71;kiss;After updating to a newer version of KISS launcher, I am no longer able to make the shortcut bar appear.;-106012129;[-1128467270, 1134705586, 1479300588, -855468870, -106012129, -964276521, 1927650540, -1704205819]
71;kiss;"The cause seems to be the ""Hide favorites bar initially"" setting.";-106012129;[-855468870, 965936953, -106012129, -1121002403, 312388574, -1704205819, 1927650540, -964276521, 1429064827, -1949905769, -1128467270]
71;kiss;When enabled, the favorites bar will not appear when I try to tap on the screen.;-106012129;[965936953, -855468870, -106012129, -1128467270, 312388574, 1134705586, 1479300588, 1927650540, 1429064827, -1949905769, 1037581905, 411379245, -1704205819, -964276521]
71;kiss;When disabled, the favorites bar will stay present and not disappear until the search bar or the KISS button is pressed.;;[965936953, -855468870, -106012129, -1121002403, 312388574, 1927650540, -2029754607, 1134705586, 1479300588, -247838166, -984565376]
71;kiss;5. Check home screen to see there is no favorites bar, even after tapping the screen.;;[965936953, -855468870, -1704205819, 1927650540, -964276521, 1429064827, -1949905769, -106012129, 947005092, 471498532, 1369862634, 1134705586, 1479300588, -1121002403, 312388574, -1128467270, -247838166, -984565376, 1037581905, 411379245, -2029754607]
117;openfoodfacts;Space increase on refresh in Nutrition Facts tab;2132718311;[2132718311, 1507374999, -1796134774]
117;openfoodfacts;Refreshing also changes the space between each row of nutritional value.;2132718311;[2132718311, 1507374999, -1796134774]
128;andotp;Switching language is not working.;310762316;[1123364771, 421220100, 310762316]
128;andotp;The app is falling back to english;310762316;[1123364771, 421220100, -275021217, 310762316, -1941076176, -1902628292, 819416968]
