"bugID","appName","matchedStates","rankedPredictedStatesOB"
"2","familyfinance","[-560313656]","[-279572, -712242734, -560313656, -202690905, 1736171683]"
"8","trickytripper","[1084950948]","[1084950948, -593025764, 23350747, 1714901477]"
"10","files","[-1890183026]","[-1615038563, 686380472, -323297891, -1104221283, 1740968542]"
"18","calendula","[658595597]","[-1159355792, -298326862, -326888783, -1619725376, 658595597]"
"19","streetcomplete","[-1360369064]","[-1782712419, 310092797]"
"44","omninotes","[-2142231540]","[-1153924928, -2142231540, 1454100765]"
"53","markor","[-1236146120]","[-1236146120, -219734076, 587060911, 1740951905, -1407938635]"
"71","kiss","[-106012129,  965936953, 471498532]","[965936953, -855468870, -106012129, -1128467270, -1121002403]"
"117","openfoodfacts","[2132718311]","[2132718311, 1507374999, -1796134774]"
"128","andotp","[1237792366, 310762316]","[1123364771, 421220100, 310762316, -275021217, -1941076176]"
"129","andotp","[1336926763]","[-433330723, 1336926763, 1963496643, 1790211307, -1800022721]"
"130","andotp","[-29424041]","[551248244, 1868556809, -29424041, -848835706, 296209340]"
"135","commons","[-1904355051]","[1328668945, 1539480499, -1582395982, 1731583989, 1539747878]"
"191","anuto","[1615631188]","[]"
"201","inaturalist","[233105557]","[997195766, 1251308988, -723411255, -945138753, -1048370028]"
"206","gnucash","[-6302601]","[689907738, -1081298623, -496415038, -1294931745, 810114053]"
"209","gnucash","[957754428]","[-1281309523, 957754428]"
"256","gnucash","[964742698]","[-752978693, 1621373686, 1741211912, 1131629336, 1916256422]"
"1073","focus","[170813981]","[-838022452, 746008261, 507499484, -689566511, -565685927]"
"1096","inaturalist","[411379245]","[215502003, 1039298751, -1928008312, -1724378211, -1760072049]"
"1146","gpstest","[-1649118866]","[-1757099570, 490981373, -1050057631]"
"1147","gpstest","[-1478844228]","[-1697176963, 307107753, 297018762, -834424186, 1239368559]"
"1151","gpstest","[-1697176963]","[-1697176963, 1994917440]"
"1202","createpdf","[164409849]","[1008357753, 164409849, 407006394, -1690755307, 2076398666]"
"1205","createpdf","[-216144461, -850451593, -1452222840, -2018771725]","[2057626940, -331770451, 1511193977, 1623941262, 128976574]"
"1207","andotp","[-1486269566]","[-1486269566, 385581253, -1871660688, 290795441, -1040369295]"
"1223","gnucash","[-1456928293]","[-1281309523, 957754428]"
"1224","gnucash","[-1294931745, -415893334, -638948281]","[1621373686, -1466173413, 1741211912, -1440315232, -1184413630]"
"1226","gnucash","[1006317146]","[-752978693, -1613178184, 1621373686, 1741211912, 1838093861]"
"1299","fieldbook","[725627353]","[-1607635098, 973007465, -179474760, -499315508]"
"1399","phimpme","[992092840]","[1064895591, 1880603993, 306336189, -1544837703, -2142509981]"
"1406","phimpme","[-1218922637]","[-2142509981, 2041389762, 1365085226, -763684107, -1218922637]"
"1430","fastnfitness","[-1589521620, 1964956963]","[1187211466, 679683959, -1589521620, -1354370410, 229552544]"
"1441","anglerslog","[-200778862]","[1137025737, 228766275, -1830670926, 1883195044, -200778862]"
"1445","anglerslog","[-1556075131]","[1124699652, 243072767, 1178099871, -1905517278, -1971657060]"
"1481","hex","[-392052975]","[-413781993, -2082183700, 2058840954, 1028017515, 1591687296]"
