"bugID","appName","matchedStates","rankedPredictedStatesS2R"
"2","familyfinance","[-560313656]","[-202690905, -1598821567, -712242734, -560313656, -560313656]"
"8","trickytripper","[1084950948]","[-1483261479, -1311264684, -693597543, 23350747]"
"10","files","[-1890183026]","[-1890183026, -952591717]"
"18","calendula","[658595597]","[1976729004, 153059599, 1052397577, -1825972377, -813774053]"
"19","streetcomplete","[-1360369064]","[-1782712419, -1782712419]"
"44","omninotes","[-2142231540]","[-1529720248]"
"53","markor","[-1236146120]","[-1236146120, -1236146120, -1236146120, -1236146120, -703507165]"
"71","kiss","[-106012129,  965936953, 471498532]","[1369862634, 1429064827, -1949905769, 1134705586, 1479300588]"
"129","andotp","[1336926763]","[-985174723, 1963496643, 1336926763, 1963496643, 1336926763]"
"130","andotp","[-29424041]","[1868556809, 1868556809, -848835706, 1943344404, -1889988888]"
"135","commons","[-1904355051]","[-122250718, 1539480499, -1569713709]"
"201","inaturalist","[233105557]","[1756348404, 703959228, -1979360227, -1979360227, -1979360227]"
"206","gnucash","[-6302601]","[-723413860]"
"209","gnucash","[957754428]","[236632481, -1281309523, -1281309523, -1281309523, 188575990]"
"256","gnucash","[964742698]","[-2104545075, 1621373686, 1621373686, 1741211912, 1621373686]"
"1073","focus","[170813981]","[-2142752532, 2066798753, 404012031, -2142934620, -1512985393]"
"1096","inaturalist","[411379245]","[911469885, -381979629, 1176656020]"
"1147","gpstest","[-1478844228]","[1239368559, 307107753, 1378426776, 745277332, 745277332]"
"1151","gpstest","[-1697176963]","[1994917440]"
"1202","createpdf","[164409849]","[-751063550, -230191535, 164409849, 164409849, 92093648]"
"1205","createpdf","[-216144461, -850451593, -1452222840, -2018771725]","[-331770451, 1556353114, -1484946717, 1623941262, 128976574]"
"1223","gnucash","[-1456928293]","[236632481, -1281309523, -723413860, 188575990, 957754428]"
"1224","gnucash","[-1294931745, -415893334, -638948281]","[1621373686, -1466173413, 1741211912, -1792940466, 1621373686]"
"1226","gnucash","[1006317146]","[-800938758, 1621373686, 1621373686, 1621373686, 1621373686]"
"1299","fieldbook","[725627353]","[-2142752532, 711507119, -1865404802, 725627353, 1625400088]"
"1399","phimpme","[992092840]","[992092840, 951064385, -2142509981, 2041389762, 306336189]"
"1406","phimpme","[-1218922637]","[2046824320, -2142509981]"
"1430","fastnfitness","[-1589521620, 1964956963]","[679683959, 526477495, -243797385]"
"1441","anglerslog","[-200778862]","[411379245, -328801536, 122969124, -833579900, -833579900]"
"1445","anglerslog","[-1556075131]","[-1311755472, -1780106635, -36487877, -2012705461, -1556075131]"
