"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"open";"application";;;"ImperativeSequencePP";"Open the application";"1.1";""
"1";"SR";"2";"user";"";"click";"ok";;;"ImperativeSequencePP";"click ok";"1.2";""
"1";"SR";"3";"user";"";"hit";"menu";;;"ImperativeSequencePP";"hit menu";"1.3";""
"1";"SR";"4";"user";"";"add";"new task";;;"ImperativeSequencePP";"select add new task";"1.4";""
"1";"SR";"5";"user";"";"fill";"task name";"with";""mytask"";"ImperativeSequencePP";"Fill task name with "mytask"";"1.5";""
"1";"SR";"6";"user";"";"hit";"task button";;;"ImperativeSequencePP";"hit add task button";"1.6";""
"1";"SR";"7";"user";"";"click";"first task";"to";"start";"ImperativeSequencePP";"select the first task to start";"1.7";""
"1";"SR";"8";"user";"";"hit";"menu";;;"ImperativeSequencePP";"hit menu";"1.9";""
"1";"SR";"9";"user";"";"hit";"more";;;"ImperativeSequencePP";"hit more";"1.10";""
"1";"SR";"10";"user";"";"hit";"preferences";;;"ImperativeSequencePP";"hit preferences";"1.11";""
