"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"open";"mileage";;;"ActionsInfinitivePP";"Open Mileage Tracker";"1.3";""
"1";"SR";"1";"user";"";"click";"menu";;;"ActionsInfinitivePP";"Open Mileage Tracker";"1.3";""
"1";"SR";"2";"user";"";"negotiate";""Service Intervals" screen";;;"ActionsInfinitivePP";"Negotiate to the "Service Intervals" screen";"1.4";""
"1";"SR";"2";"user";"";"add";""Service Intervals"";;;"ActionsInfinitivePP";"Negotiate to the "Service Intervals"screen";"1.4";""
"1";"SR";"2";"user";"";"type";"1";"in";"odometer";"ActionsInfinitivePP";;"1.4";""
"1";"SR";"2";"user";"";"add";""Service Interval"";;;"ActionsInfinitivePP";"Negotiate to the "Service Intervals"screen";"1.4";""
"1";"SR";"1";"user";"";"click";"menu";;;"ActionsInfinitivePP";"Open Mileage Tracker";"1.3";""
"1";"SR";"2";"user";"";"add";""Service Interval"";;;"ActionsInfinitivePP";"Negotiate to the "Service Intervals"screen";"1.4";""
"1";"SR";"2";"user";"";"type";"1";"in";"odometer";"ActionsInfinitivePP";;"1.4";""
"1";"SR";"2";"user";"";"add";""Service Interval"";;;"ActionsInfinitivePP";"Negotiate to the "Service Intervals"screen";"1.4";""
