"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"open";"application";;;"ImperativeSequencePP";"Open the application";"1.1";""
"1";"SR";"2";"user";"";"click on";"+";;;"ImperativeSequencePP";"Click on +";"1.2";""
"1";"SR";"3";"user";"";"set";"tachometer";"to";"10";"ImperativeSequencePP";"Set tachometer to 10";"1.3";""
"1";"SR";"4";"user";"";"set";"volume";"to";"10";"ImperativeSequencePP";"Set volume to 10";"1.4";""
"1";"SR";"5";"user";"";"set";"price";"to";"100";"ImperativeSequencePP";"Set price to 100";"1.5";""
"1";"SR";"6";"user";"";"click on";"done";;;"ImperativeSequencePP";"Click on done";"1.6";""
"1";"SR";"7";"user";"";"click on";"+";;;"ImperativeSequencePP";"Click on +";"1.7";""
"1";"SR";"8";"user";"";"set";"tachometer";"to";"20";"ImperativeSequencePP";"Set tachometer to 20";"1.8";""
"1";"SR";"9";"user";"";"set";"volume";"to";"20";"ImperativeSequencePP";"Set volume to 20";"1.9";""
"1";"SR";"10";"user";"";"set";"price";"to";"100";"ImperativeSequencePP";"Set price to 100";"1.10";""
"1";"SR";"11";"user";"";"click on";"done";;;"ImperativeSequencePP";"Click on done";"1.11";""
"1";"SR";"12";"user";"";"click";;"on";""…" menu";"ImperativeSequencePP";"Click on "…" menu on the right side";"1.12";""
"1";"SR";"13";"user";"";"click";;"on";"view data";"ImperativeSequencePP";"Click on view data";"1.13";""
"1";"SR";"14";"user";"";"click";;"on";"20 km refill";"ImperativeSequencePP";"Click on the second refueling data";"1.14";""
"1";"SR";"15";"user";"";"click";;"on";"bottom-right menu";"ImperativeSequencePP";"Click on bottom-right menu";"1.15";""
"1";"SR";"16";"user";"";"rotate";"screen";"to";"landscape";"ImperativeSequencePP";"Rotate screen to landscape";"1.16";""
"1";"OB";"17";"app";"not";"select";"20 km Refueling entry";;;"NegativeAuxVerbPP";"The second Refueling entry is not selected";"1.17";""
