"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"open";"application";;;"ImperativeSequencePP";"Open the application";"1.1";""
"1";"SR";"2";"user";"";"click";;"on";"create a car";"ImperativeSequencePP";"Click on create a car";"1.2";""
"1";"SR";"3";"user";"";"type";""Ferrari"";"on";"name";"ImperativeSequencePP";"Type "Ferrari" on name";"1.3";""
"1";"SR";"4";"user";"";"click";"done";;;"ImperativeSequencePP";"click done";"1.4";""
"1";"SR";"5";"user";"";"click";"+";;;"ImperativeSequencePP";"click +";"1.5";""
"1";"SR";"6";"user";"";"click";;"on";"refueling";"ImperativeSequencePP";"Click on refueling";"1.6";""
"1";"SR";"7";"user";"";"set";"Distance";"to";"10";"ImperativeSequencePP";"Set Distance to 10";"1.7";""
"1";"SR";"8";"user";"";"set";"Volume";"to";"10";"ImperativeSequencePP";"Set Volume to 10";"1.8";""
"1";"SR";"9";"user";"";"set";"Price";"to";"100";"ImperativeSequencePP";"Set Price to 100";"1.9";""
"1";"SR";"10";"user";"";"click";"done";;;"ImperativeSequencePP";"click done";"1.10";""
"1";"SR";"11";"user";"";"click";;"on";"left menu";"ImperativeSequencePP";"Click on left menu";"1.11";""
"1";"SR";"12";"user";"";"click";;"on";"ferrari";"ImperativeSequencePP";"Click on car name (Ferrari)";"1.12";""
"1";"SR";"13";"user";"";"click";;"on";"Refueling data";"ImperativeSequencePP";"Click on the Refueling data on the left side";"1.13";""
"1";"SR";"14";"user";"";"click";;"on";"date";"ImperativeSequencePP";"Click on date";"1.14";""
"1";"SR";"15";"user";"";"change";"day";"by";"one";"ImperativeSequencePP";"Change the day by one";"1.15";""
"1";"SR";"16";"user";"";"click";"done";;;"ImperativeSequencePP";"Click done";"1.16";""
"1";"SR";"17";"user";"";"click";"done";;;"ImperativeSequencePP";"Click done";"1.17";""
"1";"OB";"18";"app";"";"display";"message";;;"OutputVerbPP";"the app displays a message that says that "Mileage needs to be between the mileage of the previous and next refueling..."";"1.18";""
