"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"open";"application";;;"ImperativeSequencePP";"Open the application";"1.1";""
"1";"SR";"2";"user";"";"click";;"on";"NEW GAME button";"ImperativeSequencePP";"Click on the NEW GAME button";"1.2";""
"1";"SR";"3";"user";"";"type";"A";"into";"text field";"ImperativeSequencePP";"Type “A” into the text field (type here to add new player)";"1.3";""
"1";"SR";"4";"user";"";"click";"add";;;"ImperativeSequencePP";"Click “add”";"1.4";""
"1";"SR";"5";"user";"";"type";"B";"into";"text field";"ImperativeSequencePP";"Type “B” into the text field(type here to add new player)";"1.5";""
"1";"SR";"6";"user";"";"click";"add";;;"ImperativeSequencePP";"Click “add”";"1.6";""
"1";"SR";"7";"user";"";"click";;"on";"START GAME";"ImperativeSequencePP";"Click on START GAME";"1.7";""
"1";"SR";"8";"user";"";"enter";"score";"for";"player A";"ImperativeSequencePP";"Enter score for player A";"1.8";""
"1";"SR";"9";"user";"";"enter";"score";"for";"player B";"ImperativeSequencePP";"Enter score for player B";"1.9";""
"1";"SR";"10";"user";"";"click";;"on";"UPDATE SCORES button";"ImperativeSequencePP";"Click on the UPDATE SCORES button";"1.10";""
"1";"SR";"11";"user";"";"click";;"on";"BACK button";"ImperativeSequencePP";"Click on the BACK button";"1.11";""
"1";"SR";"12";"user";"";"click";;"on";"BACK button";"ImperativeSequencePP";"Click on the BACK button";"1.12";""
"1";"SR";"13";"user";"";"click";;"on";"LAST GAME button";"ImperativeSequencePP";"Click on the LAST GAME button";"1.13";""
"1";"SR";"14";"user";"";"type";"C";"into";"text field";"ImperativeSequencePP";"Type “C” into the text field (type here to add new player)";"1.16";""
"1";"SR";"15";"user";"";"click";"add";;;"ImperativeSequencePP";"Click “add”";"1.17";""
"1";"SR";"16";"user";"";"click";;"on";"START GAME button";"ImperativeSequencePP";"Click on the START GAME button";"1.18";""
"1";"SR";"17";"user";"";"click";;"on";"back button";"ImperativeSequencePP";"Click on the back button";"1.20";""
"1";"SR";"18";"user";"";"click";;"on";"back button";"ImperativeSequencePP";"Click on the back button";"1.21";""
"1";"SR";"19";"user";"";"click";;"on";"LAST GAME button";"ImperativeSequencePP";"Click on the LAST GAME button";"1.22";""
"1";"SR";"20";"user";"";"click";;"on";"START GAME button";"ImperativeSequencePP";"Click on the START GAME button";"1.23";""
"1";"OB";"21";"game";"not";"start";;;;"NegativeAuxVerbPP";"The game does not start, nothing happens";"1.24";""
