"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"open";"application";;;"ImperativeSequencePP";"Open the application";"1.1";""
"1";"SR";"2";"user";"";"click";;"on";"pdf file";"ImperativeSequencePP";"Click on the document (pdf file)";"1.2";""
"1";"SR";"3";"user";"";"click";;"on";"settings";"ImperativeSequencePP";"Click on settings (up bar, third icon)";"1.3";""
"1";"SR";"4";"user";"";"click";;"on";"Configure taps";"ImperativeSequencePP";"Click on Configure Taps";"1.4";""
"1";"SR";"5";"user";"";"drag";;"on";"regions";"ImperativeSequencePP";"Drag on all the regions";"1.5";""
"1";"SR";"6";"user";"";"press";"delete several times";;;"ImperativeSequencePP";"Press Delete several times";"1.6";""
"1";"OB";"7";"Press";"";"delete";"several times";;;"NegativeVerbPP";"Press Delete several times";"1.6";""
"1";"SR";"8";"user";"";"click";;"outside";"popup";"ImperativeSequencePP";"Click outside the popup";"1.7";""
"1";"SR";"9";"user";"";"drag";"region";;;"ImperativeSequencePP";"Drag and highlight a region";"1.8";""
"1";"SR";"10";"user";"";"set";"Single Tap";"to";"Find Text";"ImperativeSequencePP";"set Single Tap to Find Text";"1.9";""
"1";"SR";"11";"user";"";"press";"Back button";;;"ImperativeSequencePP";"Press Back button";"1.10";""
"1";"SR";"12";"user";"";"press";"Back button";;;"ImperativeSequencePP";"Press Back button";"1.11";""
"1";"SR";"13";"user";"";"click";"region";"on";"pdf";"ImperativeSequencePP";"Click the region on the pdf";"1.12";""
"1";"SR";"14";"user";"";"click";;"on";"settings";"ImperativeSequencePP";"Click on settings (up bar, third icon)";"1.13";""
"1";"SR";"15";"user";"";"click";;"on";"Configure taps";"ImperativeSequencePP";"Click on Configure Taps";"1.14";""
"1";"OB";"16";"app";"";"define";"regions";;;"PassiveVoicePP";"All the regions are defined (in color)";"1.15";""
