"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"open";"application";;;"ImperativeSequencePP";"Open the application";"1.1";""
"1";"SR";"2";"user";"";"click";"screen";;;"ImperativeSequencePP";"click screen to open menu";"1.2";""
"1";"SR";"3";"user";"";"click";"open";;;"ImperativeSequencePP";"click open";"1.3";""
"1";"SR";"4";"user";"";"click";;"to";"parent folder";"ImperativeSequencePP";"click back to parent folder";"1.4";""
"1";"SR";"5";"user";"";"click";;"to";"parent folder";"ImperativeSequencePP";"click back to parent folder";"1.5";""
"1";"SR";"6";"user";"";"click";;"to";"parent folder";"ImperativeSequencePP";"click back to parent folder";"1.6";""
"1";"SR";"7";"user";"";"click";"folder 'mnt'";;;"ImperativeSequencePP";"click folder 'mnt'";"1.7";""
"1";"SR";"8";"user";"";"long click";"'secure'";;;"ImperativeSequencePP";"long click 'secure'";"1.8";""
"1";"OB";"9";"app";"";"crash";;;;"ErrorNounPhrasePP";"the app crashes";"1.9";""
"1";"OB";"10";"app";"";"crash";;;;"NegativeVerbPP";"the app crashes";"1.9";""
