"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"open";"application";;;"ImperativeSequencePP";"Open the application";"1.1";""
"1";"SR";"2";"user";"";"click";"weight text field";;;"ImperativeSequencePP";"Click weight text field";"1.2";""
"1";"SR";"3";"user";"";"type";"86.5";;;"ImperativeSequencePP";"Type “86.5” and click “go”";"1.3";""
"1";"SR";"4";"user";"";"click";"go";;;"ImperativeSequencePP";"Click “go”";"1.4";""
"1";"SR";"5";"user";"";"click";;"on";"SET CURRENT WEIGHT button";"ImperativeSequencePP";"Click on the SET CURRENT WEIGHT button";"1.5";""
"1";"SR";"6";"user";"";"click";"currentWeight";;;"ImperativeSequencePP";"Click weight text field";"1.6";""
"1";"SR";"7";"user";"";"type";"86.8";;;"ImperativeSequencePP";"Type “86.8” and click “go”";"1.7";""
"1";"SR";"8";"user";"";"click";"go";;;"ImperativeSequencePP";"Click “go”";"1.8";""
"1";"SR";"9";"user";"";"click";;"on";"SET CURRENT WEIGHT button";"ImperativeSequencePP";"Click on the SET CURRENT WEIGHT button";"1.9";""
"1";"SR";"10";"user";"";"click";"menu button";;;"ImperativeSequencePP";"Click on the menu button";"1.10";""
"1";"SR";"11";"user";"";"select";"Export Data option";;;"ImperativeSequencePP";"Select Export Data option";"1.11";""
"1";"SR";"12";"user";"";"go";"File";;;"ImperativeSequencePP";"Go to File Manager app";"1.12";""
"1";"SR";"13";"user";"";"select";"DroidWeight folder";;;"ImperativeSequencePP";"Select DroidWeight folder";"1.13";""
"1";"SR";"14";"user";"";"open";"data.csv file";;;"ImperativeSequencePP";"Open data.csv file";"1.14";""
