"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"click";"next";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"2";"user";"";"click";"next";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"3";"user";"";"click";"next";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"4";"user";"";"choose";""disable crash reports"";;;"ImperativeSequencePP";"";"1.5";""
"1";"SR";"5";"user";"";"click";"next";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"6";"user";"";"click";"done";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"7";"user";"";"create";"account";;;"ConditionalObsBehaviorPP";"App crashes after creating account with BYN currency";"0";""
"1";"SR";"8";"user";"";"type";"Yens account";"on";"account name";"ConditionalObsBehaviorPP";"";"0";""
"1";"SR";"9";"user";"";"click";"input currency spinner";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"10";"user";"";"scroll up";;;;"ConditionalObsBehaviorPP";"";"0";""
"1";"SR";"11";"user";"";"scroll up";;;;"ConditionalObsBehaviorPP";"";"0";""
"1";"SR";"12";"user";"";"scroll up";;;;"ConditionalObsBehaviorPP";"";"0";""
"1";"SR";"13";"user";"";"scroll up";;;;"ConditionalObsBehaviorPP";"";"0";""
"1";"SR";"14";"user";"";"scroll up";;;;"ConditionalObsBehaviorPP";"";"0";""
"1";"SR";"15";"user";"";"scroll up";;;;"ConditionalObsBehaviorPP";"";"0";""
"1";"SR";"16";"user";"";"scroll up";;;;"ConditionalObsBehaviorPP";"";"0";""
"1";"SR";"17";"user";"";"scroll up";;;;"ConditionalObsBehaviorPP";"";"0";""
"1";"SR";"18";"user";"";"scroll up";;;;"ConditionalObsBehaviorPP";"";"0";""
"1";"SR";"19";"user";"";"tap";"JPY - Yen";;;"ConditionalObsBehaviorPP";"";"0";""
"1";"SR";"19";"user";"";"uncheck";"checkbox placeholder account";;;"ConditionalObsBehaviorPP";"";"0";""
"1";"SR";"20";"user";"";"hit";"Save";;;"ActionsInfinitivePP";"Hit Save.";"1.3";""
"1";"SR";"21";"user";"";"click";"Yens account";;;"ConditionalObsBehaviorPP";"";"0";""
"1";"SR";"22";"user";"";"click";"create transaction";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"23";"user";"";"type";""Test"";"on";"Description";"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"24";"user";"";"type";"10";"on";"Amount";"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"25";"user";"";"click";"Save";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"26";"user";"";"click";"radio exchange rate";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"27";"user";"";"type";"0.12";"on";"exchange rate input";"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"28";"user";"";"click";"Save";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"29";"user";"";"click";"Save";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"30";"user";"";"go back";;;;"ImperativeSequencePP";"click done";"1.7";""
