"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"open";"application";;;"ImperativeSequencePP";"Open the application";"1.1";""
"1";"SR";"2";"user";"";"click";;"on";"NEXT button";"ImperativeSequencePP";"Click on the NEXT button";"1.2";""
"1";"SR";"3";"user";"";"click";;"on";"NEXT button";"ImperativeSequencePP";"Click on the NEXT button";"1.3";""
"1";"SR";"4";"user";"";"click";;"on";"NEXT button";"ImperativeSequencePP";"Click on the NEXT button";"1.4";""
"1";"SR";"5";"user";"";"select";"Feedback Option "Disable crash reports"";;;"ImperativeSequencePP";"Select Feedback Option "Disable crash reports"";"1.5";""
"1";"SR";"6";"user";"";"click";;"on";"NEXT button";"ImperativeSequencePP";"Click on the NEXT button";"1.6";""
"1";"SR";"7";"user";"";"click";;"on";"DONE button";"ImperativeSequencePP";"Click on the DONE button";"1.7";""
"1";"SR";"8";"user";"";"click";;"on";"Navigation drawer";"ImperativeSequencePP";"Click on menu";"1.8";""
"1";"SR";"9";"user";"";"click";;"on";"Book 1 spinner";"ImperativeSequencePP";"Click on Book 1 spinner";"1.9";""
"1";"SR";"10";"user";"";"click";;"on";""manage books"";"ImperativeSequencePP";"Click on "manage books"";"1.10";""
"1";"SR";"11";"user";"";"click on";"New Book button";;;"ImperativeSequencePP";"Click on +";"1.11";""
"1";"SR";"12";"user";"";"click";;"on";"Assets "options menu" button";"ImperativeSequencePP";"Click on Assets "…" button";"1.12";""
"1";"SR";"13";"user";"";"click";;"on";"Edit account";"ImperativeSequencePP";"Click on Edit account";"1.13";""
"1";"SR";"14";"user";"";"click";;"on";"color picker";"ImperativeSequencePP";"Click on the color icon";"1.14";""
"1";"SR";"15";"user";"";"click";"red color (23)";;;"ImperativeSequencePP";"Click the red color";"1.15";""
"1";"SR";"16";"user";"";"click";"Save";;;"ImperativeSequencePP";"Click Save";"1.16";""
"1";"SR";"17";"user";"";"click";;"on";"Navigation drawer";"ImperativeSequencePP";"Click on menu";"1.17";""
"1";"SR";"18";"user";"";"click";;"on";"Book 2 spinner";"ImperativeSequencePP";"Click on Book 2 spinner";"1.18";""
"1";"SR";"19";"user";"";"click";;"on";""manage books"";"ImperativeSequencePP";"Click on manage books";"1.19";""
"1";"SR";"20";"user";"";"click on";"New Book button";;;"ImperativeSequencePP";"Click on +";"1.20";""
"1";"SR";"21";"user";"";"click";;"on";"Navigation drawer";"ImperativeSequencePP";"Click on menu";"1.21";""
"1";"SR";"22";"user";"";"click";;"on";"Book 3 spinner";"ImperativeSequencePP";"Click on Book 3 spinner";"1.22";""
"1";"SR";"23";"user";"";"click";;"on";""manage books"";"ImperativeSequencePP";"Click on manage books";"1.23";""
"1";"SR";"24";"user";"";"click";;"on";"delete book 2 icon";"ImperativeSequencePP";"Click on the x icon for Book2";"1.24";""
"1";"SR";"25";"user";"";"click";"delete book";;;"ImperativeSequencePP";"Click Delete Book";"1.25";""
"1";"SR";"26";"user";"";"click";;"on";"back icon";"ImperativeSequencePP";"Click on the back icon on the top-left";"1.26";""
