"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"open";"application";;;"ImperativeSequencePP";"Open the application";"1.1";""
"1";"SR";"2";"user";"";"click";"app menu";;;"ImperativeSequencePP";"click the app menu";"1.2";""
"1";"SR";"3";"user";"";"select";"add note";;;"ImperativeSequencePP";"Select “add note” from the menu";"1.3";""
"1";"SR";"4";"user";"";"enter";"text A";"in";"one line";"ImperativeSequencePP";"Enter text “A” in one line";"1.4";""
"1";"SR";"5";"user";"";"enter";"text B";"in";"one different line";"ImperativeSequencePP";"Enter text “B” in one different line";"1.5";""
"1";"OB";"6";"app";"";"enter";"text B";"in";"one different line";"NegativeAdjOrAdvPP";"Enter text “B” in one different line";"1.5";""
"1";"SR";"7";"user";"";"enter";"text C";;;"ImperativeSequencePP";"Enter text “C”";"1.6";""
"1";"SR";"8";"user";"";"click";"confirm";;;"ImperativeSequencePP";"click “confirm”";"1.7";""
"1";"SR";"9";"user";"";"click";;"on";"note A";"ImperativeSequencePP";"click on the note (titled “A”)";"1.9";""
"1";"SR";"10";"user";"";"change";"first line";"to";"AA";"ImperativeSequencePP";"Change first line to “AA”";"1.10";""
"1";"SR";"11";"user";"";"click";"confirm";;;"ImperativeSequencePP";"click “confirm”";"1.11";""
