"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"open";"application";;;"ImperativeSequencePP";"Open the application";"1.1";""
"1";"SR";"2";"user";"";"click";"chaos communication camp opening";;;"ImperativeSequencePP";"click “chaos communication camp opening”";"1.2";""
"1";"SR";"3";"user";"";"click";"favorite";;;"ImperativeSequencePP";"click “favorite”/star button in the top";"1.3";""
"1";"SR";"4";"user";"";"click";"back button";;;"ImperativeSequencePP";"click “back” button";"1.4";""
"1";"SR";"5";"user";"";"click";"favorites button";"in";"top right";"ImperativeSequencePP";"click “favorites” button in the top right";"1.5";""
"1";"SR";"6";"user";"";"select";"“chaos communication camp opening”";;;"ImperativeSequencePP";"select the only first event";"1.6";""
"1";"SR";"7";"user";"";"click";"favorite";;;"ImperativeSequencePP";"click the “favorite”/star button in the top to unfavorite";"1.7";""
"1";"SR";"8";"user";"";"click";"back button";;;"ImperativeSequencePP";"click phone/emulator back button";"1.8";""
"1";"OB";"9";"app";"";"display";"event";"in";"favorites list";"OutputVerbPP";"the event is still displayed in the favorites list";"1.9";""
"1";"OB";"10";"app";"";"display";"event";"in";"favorites list";"PassiveVoicePP";"the event is still displayed in the favorites list";"1.9";""
