"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"OB";"1";"Split memos";"";"disappear";;;;"NegativeVerbPP";"Split memos disappear";"0";""
"1";"SR";"2";"user";"";"click";"dismiss";;;"ImperativeSequencePP";"Click on transaction";"1.2";""
"1";"SR";"2";"user";"";"click";;"on";"transaction";"ImperativeSequencePP";"Click on transaction";"1.2";""
"1";"SR";"3";"user";"";"click";;"on";"edit FAB button";"ImperativeSequencePP";"Click on edit FAB button";"1.3";""
"1";"SR";"4";"user";"";"click";;"on";"split icon";"ImperativeSequencePP";"Click on split icon";"1.4";""
"1";"SR";"5";"user";"";"add";"memo";"to";"splits";"ImperativeSequencePP";"Add memo to 1 or more splits";"1.5";""
"1";"SR";"6";"user";"";"click";""save"";;;"ImperativeSequencePP";"Click "save"";"1.6";""
"1";"SR";"7";"user";"";"click";""save"";;;"ImperativeSequencePP";"Click "save" again";"1.7";""
"1";"SR";"8";"user";"";"click";;"on";"edit FAB button";"ImperativeSequencePP";"Click on edit FAB button";"1.8";""
"1";"SR";"9";"user";"";"click";;"on";"split icon";"ImperativeSequencePP";"Click on split icon";"1.9";""
"1";"OB";"10";"Split";"not";"have";"memos";;;"NegativeAuxVerbPP";"Split do not have their memos anymore.";"3.2";""
