"screen_id","sequence_id","source","execution_id","original_screenshot_path","execution_path","xml_path"
"-955209532","7","CS","0","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/screenshots/me.zhanghai.android.files.Bottom_Up.Expected..1.me.zhanghai.android.files_1.0.0-beta.11_6.png","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/Execution-2.json","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/me.zhanghai.android.files-1.0.0-beta.11-1-Expected-Bottom_Up-6.xml"
"-1517937208","8","CS","0","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/screenshots/me.zhanghai.android.files.Bottom_Up.Expected..1.me.zhanghai.android.files_1.0.0-beta.11_7.png","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/Execution-2.json","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/me.zhanghai.android.files-1.0.0-beta.11-1-Expected-Bottom_Up-7.xml"
"817880200","12","CS","0","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/screenshots/me.zhanghai.android.files.Bottom_Up.Expected..1.me.zhanghai.android.files_1.0.0-beta.11_11.png","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/Execution-2.json","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/me.zhanghai.android.files-1.0.0-beta.11-1-Expected-Bottom_Up-11.xml"
"-1626051797","14","CS","0","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/screenshots/me.zhanghai.android.files.Bottom_Up.Expected..1.me.zhanghai.android.files_1.0.0-beta.11_13.png","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/Execution-2.json","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/me.zhanghai.android.files-1.0.0-beta.11-1-Expected-Bottom_Up-13.xml"
"1500984680","15","CS","0","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/screenshots/me.zhanghai.android.files.Bottom_Up.Expected..1.me.zhanghai.android.files_1.0.0-beta.11_14.png","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/Execution-2.json","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/me.zhanghai.android.files-1.0.0-beta.11-1-Expected-Bottom_Up-14.xml"
"-696788546","19","CS","0","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/screenshots/me.zhanghai.android.files.Bottom_Up.Expected..1.me.zhanghai.android.files_1.0.0-beta.11_18.png","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/Execution-2.json","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/me.zhanghai.android.files-1.0.0-beta.11-1-Expected-Bottom_Up-18.xml"
"-1013635107","21","CS","0","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/screenshots/me.zhanghai.android.files.Bottom_Up.Expected..1.me.zhanghai.android.files_1.0.0-beta.11_20.png","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/Execution-2.json","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/me.zhanghai.android.files-1.0.0-beta.11-1-Expected-Bottom_Up-20.xml"
"-1687596000","22","CS","0","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/screenshots/me.zhanghai.android.files.Bottom_Up.Expected..1.me.zhanghai.android.files_1.0.0-beta.11_21.png","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/Execution-2.json","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/me.zhanghai.android.files-1.0.0-beta.11-1-Expected-Bottom_Up-21.xml"
"-149187158","24","CS","0","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/screenshots/me.zhanghai.android.files.Bottom_Up.Expected..1.me.zhanghai.android.files_1.0.0-beta.11_23.png","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/Execution-2.json","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/me.zhanghai.android.files-1.0.0-beta.11-1-Expected-Bottom_Up-23.xml"
"88987327","25","CS","0","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/screenshots/me.zhanghai.android.files.Bottom_Up.Expected..1.me.zhanghai.android.files_1.0.0-beta.11_24.png","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/Execution-2.json","../data/CrashScope-Data/CS10/me.zhanghai.android.files-1.0.0-beta.11/me.zhanghai.android.files-1.0.0-beta.11-1-Expected-Bottom_Up-24.xml"
