"screen_id","sequence_id","source","execution_id","original_screenshot_path","execution_path","xml_path"
"-1336808902","2","CS","0","../data/CrashScope-Data/CS1145/com.android.gpstest-3.8.1/screenshots/com.android.gpstest.Top_Down.Expected..1.com.android.gpstest_3.8.1_1.png","../data/CrashScope-Data/CS1145/com.android.gpstest-3.8.1/Augmented-Execution-1.json","../data/CrashScope-Data/CS1145/com.android.gpstest-3.8.1/Augmented-XML/com.android.gpstest-3.8.1-1-Expected-Top_Down-1.xml"
"411379245","1","TR","0","../data/TraceReplayer-Data/TR1145/screenshots/com.android.gpstest.User-Trace.1.com.android.gpstest_3.8.1_gpstest0.png","../data/TraceReplayer-Data/TR1145/Augmented-Execution-1.json","../data/CrashScope-Data/CS1145/com.android.gpstest-3.8.1/Augmented-XML/com.android.gpstest-3.8.1-1-Expected-Top_Down-0.xml"
"-2090526052","60","TR","0","../data/TraceReplayer-Data/TR1145/screenshots/com.android.gpstest.User-Trace.1.com.android.gpstest_3.8.1_gpstest73.png","../data/TraceReplayer-Data/TR1145/Augmented-Execution-1.json","../data/TraceReplayer-Data/TR1145/Augmented-XML/com.android.gpstest-3.8.1-1-User-Trace-1.xml"
"-1929844143","21","TR","0","../data/TraceReplayer-Data/TR1145/screenshots/com.android.gpstest.User-Trace.1.com.android.gpstest_3.8.1_gpstest24.png","../data/TraceReplayer-Data/TR1145/Augmented-Execution-1.json","../data/TraceReplayer-Data/TR1145/Augmented-XML/com.android.gpstest-3.8.1-1-User-Trace-20.xml"
"-415555190","26","TR","0","../data/TraceReplayer-Data/TR1145/screenshots/com.android.gpstest.User-Trace.1.com.android.gpstest_3.8.1_gpstest27.png","../data/TraceReplayer-Data/TR1145/Augmented-Execution-1.json","../data/TraceReplayer-Data/TR1145/Augmented-XML/com.android.gpstest-3.8.1-1-User-Trace-25.xml"
"-1050057631","29","TR","0","../data/TraceReplayer-Data/TR1145/screenshots/com.android.gpstest.User-Trace.1.com.android.gpstest_3.8.1_gpstest33.png","../data/TraceReplayer-Data/TR1145/Augmented-Execution-1.json","../data/TraceReplayer-Data/TR1145/Augmented-XML/com.android.gpstest-3.8.1-1-User-Trace-28.xml"
"-69382452","31","TR","0","../data/TraceReplayer-Data/TR1145/screenshots/com.android.gpstest.User-Trace.1.com.android.gpstest_3.8.1_gpstest30.png","../data/TraceReplayer-Data/TR1145/Augmented-Execution-1.json","../data/TraceReplayer-Data/TR1145/Augmented-XML/com.android.gpstest-3.8.1-1-User-Trace-30.xml"
"-1397447886","35","TR","0","../data/TraceReplayer-Data/TR1145/screenshots/com.android.gpstest.User-Trace.1.com.android.gpstest_3.8.1_gpstest34.png","../data/TraceReplayer-Data/TR1145/Augmented-Execution-1.json","../data/TraceReplayer-Data/TR1145/Augmented-XML/com.android.gpstest-3.8.1-1-User-Trace-34.xml"
"578417398","36","TR","0","../data/TraceReplayer-Data/TR1145/screenshots/com.android.gpstest.User-Trace.1.com.android.gpstest_3.8.1_gpstest37.png","../data/TraceReplayer-Data/TR1145/Augmented-Execution-1.json","../data/TraceReplayer-Data/TR1145/Augmented-XML/com.android.gpstest-3.8.1-1-User-Trace-35.xml"
"-438497551","39","TR","0","../data/TraceReplayer-Data/TR1145/screenshots/com.android.gpstest.User-Trace.1.com.android.gpstest_3.8.1_gpstest58.png","../data/TraceReplayer-Data/TR1145/Augmented-Execution-1.json","../data/TraceReplayer-Data/TR1145/Augmented-XML/com.android.gpstest-3.8.1-1-User-Trace-38.xml"
"-1356003409","40","TR","0","../data/TraceReplayer-Data/TR1145/screenshots/com.android.gpstest.User-Trace.1.com.android.gpstest_3.8.1_gpstest39.png","../data/TraceReplayer-Data/TR1145/Augmented-Execution-1.json","../data/TraceReplayer-Data/TR1145/Augmented-XML/com.android.gpstest-3.8.1-1-User-Trace-39.xml"
"-1098638554","41","TR","0","../data/TraceReplayer-Data/TR1145/screenshots/com.android.gpstest.User-Trace.1.com.android.gpstest_3.8.1_gpstest43.png","../data/TraceReplayer-Data/TR1145/Augmented-Execution-1.json","../data/TraceReplayer-Data/TR1145/Augmented-XML/com.android.gpstest-3.8.1-1-User-Trace-40.xml"
"1006555586","45","TR","0","../data/TraceReplayer-Data/TR1145/screenshots/com.android.gpstest.User-Trace.1.com.android.gpstest_3.8.1_gpstest47.png","../data/TraceReplayer-Data/TR1145/Augmented-Execution-1.json","../data/TraceReplayer-Data/TR1145/Augmented-XML/com.android.gpstest-3.8.1-1-User-Trace-44.xml"
"-1011036636","49","TR","0","../data/TraceReplayer-Data/TR1145/screenshots/com.android.gpstest.User-Trace.1.com.android.gpstest_3.8.1_gpstest57.png","../data/TraceReplayer-Data/TR1145/Augmented-Execution-1.json","../data/TraceReplayer-Data/TR1145/Augmented-XML/com.android.gpstest-3.8.1-1-User-Trace-48.xml"
"1856172902","75","TR","0","../data/TraceReplayer-Data/TR1145/screenshots/com.android.gpstest.User-Trace.1.com.android.gpstest_3.8.1_gpstest75.png","../data/TraceReplayer-Data/TR1145/Augmented-Execution-1.json","../data/TraceReplayer-Data/TR1145/Augmented-XML/com.android.gpstest-3.8.1-1-User-Trace-74.xml"
"-282014043","77","TR","0","../data/TraceReplayer-Data/TR1145/screenshots/com.android.gpstest.User-Trace.1.com.android.gpstest_3.8.1_gpstest80.png","../data/TraceReplayer-Data/TR1145/Augmented-Execution-1.json","../data/TraceReplayer-Data/TR1145/Augmented-XML/com.android.gpstest-3.8.1-1-User-Trace-76.xml"
