"screen_id","sequence_id","source","execution_id","original_screenshot_path","execution_path","xml_path"
"63d674a04cf3c21f77f2bf42224283d198e6353093baa857bdf6a45e3a2e24e6","1","TR","0","../data/TraceReplayer-Data/TR1198/swati4star.createpdf-2.5/screenshots/swati4star.createpdf.User-Trace.1.swati4star.createpdf_2.5_pdfconverter1.png","../data/TraceReplayer-Data/TR1198/swati4star.createpdf-2.5/Execution-1.json","../data/CrashScope-Data/CS1198/swati4star.createpdf-2.5/swati4star.createpdf-2.5-1-Expected-Bottom_Up-0.xml"
"32f77273349e0a0670fd12fd45cbb1584b8cbdd1dcb841da7d56dd10d346ca40","41","TR","0","../data/TraceReplayer-Data/TR1198/swati4star.createpdf-2.5/screenshots/swati4star.createpdf.User-Trace.1.swati4star.createpdf_2.5_pdfconverter39.png","../data/TraceReplayer-Data/TR1198/swati4star.createpdf-2.5/Execution-1.json","../data/CrashScope-Data/CS1198/swati4star.createpdf-2.5/swati4star.createpdf-2.5-1-Expected-Bottom_Up-2.xml"
"5a4517ade816cd6fb05a4f7ae5b2100c438fe3a3d65600e36536f2bf01bc9442","9","CS","0","../data/CrashScope-Data/CS1198/swati4star.createpdf-2.5/screenshots/swati4star.createpdf.Bottom_Up.Expected..1.swati4star.createpdf_2.5_8.png","../data/CrashScope-Data/CS1198/swati4star.createpdf-2.5/Execution-Bottom_Up-Expected-1.json","../data/CrashScope-Data/CS1198/swati4star.createpdf-2.5/swati4star.createpdf-2.5-1-Expected-Bottom_Up-8.xml"
"ad8466d10bd785ac0ac4594c404ff6206e17b1d6f208f469d96e07803f8bd847","13","CS","0","../data/CrashScope-Data/CS1198/swati4star.createpdf-2.5/screenshots/swati4star.createpdf.Bottom_Up.Expected..1.swati4star.createpdf_2.5_12.png","../data/CrashScope-Data/CS1198/swati4star.createpdf-2.5/Execution-Bottom_Up-Expected-1.json","../data/CrashScope-Data/CS1198/swati4star.createpdf-2.5/swati4star.createpdf-2.5-1-Expected-Bottom_Up-12.xml"
"9b6f924b413f8b61baaa7dfbd25dbc2a80d54bbecb11116e0eed2837aa9f9eab","5","CS","1","../data/CrashScope-Data/CS1198/swati4star.createpdf-2.5/screenshots/swati4star.createpdf.Top_Down.Expected..1.swati4star.createpdf_2.5_4.png","../data/CrashScope-Data/CS1198/swati4star.createpdf-2.5/Execution-Top_Down-Expected-1.json","../data/CrashScope-Data/CS1198/swati4star.createpdf-2.5/swati4star.createpdf-2.5-1-Expected-Top_Down-4.xml"
"86ba0993f11af7036603c90c5548ff056780c94926ba3bb8257a0753b0573b95","4","TR","0","../data/TraceReplayer-Data/TR1198/swati4star.createpdf-2.5/screenshots/swati4star.createpdf.User-Trace.1.swati4star.createpdf_2.5_pdfconverter41.png","../data/TraceReplayer-Data/TR1198/swati4star.createpdf-2.5/Execution-1.json","../data/CrashScope-Data/CS1198/swati4star.createpdf-2.5/swati4star.createpdf-2.5-1-Expected-Bottom_Up-6.xml"
"1e145c0f2bd62dfa2e05c3a54eec02fdb1ae9edc8ca986758964fbe1ed676e5e","5","TR","0","../data/TraceReplayer-Data/TR1198/swati4star.createpdf-2.5/screenshots/swati4star.createpdf.User-Trace.1.swati4star.createpdf_2.5_pdfconverter4.png","../data/TraceReplayer-Data/TR1198/swati4star.createpdf-2.5/Execution-1.json","../data/TraceReplayer-Data/TR1198/swati4star.createpdf-2.5/swati4star.createpdf-2.5-1-User-Trace-4.xml"
"cdbd73c7e7e7dc9ae70eec9f787656ae51ad67451404dae745491486a524e65f","7","TR","0","../data/TraceReplayer-Data/TR1198/swati4star.createpdf-2.5/screenshots/swati4star.createpdf.User-Trace.1.swati4star.createpdf_2.5_pdfconverter7.png","../data/TraceReplayer-Data/TR1198/swati4star.createpdf-2.5/Execution-1.json","../data/TraceReplayer-Data/TR1198/swati4star.createpdf-2.5/swati4star.createpdf-2.5-1-User-Trace-6.xml"
"b15b9a7c4dd435d15c8249003fd9159836740737c4f896f49da700a53c76dd1c","9","TR","0","../data/TraceReplayer-Data/TR1198/swati4star.createpdf-2.5/screenshots/swati4star.createpdf.User-Trace.1.swati4star.createpdf_2.5_pdfconverter8.png","../data/TraceReplayer-Data/TR1198/swati4star.createpdf-2.5/Execution-1.json","../data/TraceReplayer-Data/TR1198/swati4star.createpdf-2.5/swati4star.createpdf-2.5-1-User-Trace-8.xml"
"217780db8b718744b1913b1acadb39b7a9131c892e1c1dfb526c07bb95b5ca63","10","TR","0","../data/TraceReplayer-Data/TR1198/swati4star.createpdf-2.5/screenshots/swati4star.createpdf.User-Trace.1.swati4star.createpdf_2.5_pdfconverter9.png","../data/TraceReplayer-Data/TR1198/swati4star.createpdf-2.5/Execution-1.json","../data/TraceReplayer-Data/TR1198/swati4star.createpdf-2.5/swati4star.createpdf-2.5-1-User-Trace-9.xml"
