"screen_id","sequence_id","source","execution_id","original_screenshot_path","execution_path","xml_path"
"76097bf4b20f9772c9287c36a4207ff3726a96bbc896b60b023adbb2df36b780","2","CS","0","../data/CrashScope-Data/CS168/cgeo.geocaching-2019.02.23/screenshots/cgeo.geocaching.Bottom_Up.Expected..1.cgeo.geocaching_2019.02.23_1.png","../data/CrashScope-Data/CS168/cgeo.geocaching-2019.02.23/Execution-Bottom_Up-Expected-1.json","../data/CrashScope-Data/CS168/cgeo.geocaching-2019.02.23/cgeo.geocaching-2019.02.23-1-Expected-Bottom_Up-1.xml"
"7e731f699446c40504f75a6dc8fe079058366c578cbbb2652455b94c4ec5a081","3","CS","0","../data/CrashScope-Data/CS168/cgeo.geocaching-2019.02.23/screenshots/cgeo.geocaching.Bottom_Up.Expected..1.cgeo.geocaching_2019.02.23_2.png","../data/CrashScope-Data/CS168/cgeo.geocaching-2019.02.23/Execution-Bottom_Up-Expected-1.json","../data/CrashScope-Data/CS168/cgeo.geocaching-2019.02.23/cgeo.geocaching-2019.02.23-1-Expected-Bottom_Up-2.xml"
"db04b906179c98c613860900737c666e72d3e3324ea6c1ad09d329c2dd507cad","1","TR","0","../data/TraceReplayer-Data/TR168/cgeo.geocaching-2019.02.23/screenshots/cgeo.geocaching.User-Trace.1.cgeo.geocaching_2019.02.23_c:geo0.png","../data/TraceReplayer-Data/TR168/cgeo.geocaching-2019.02.23/Execution-1.json","../data/CrashScope-Data/CS168/cgeo.geocaching-2019.02.23/cgeo.geocaching-2019.02.23-1-Expected-Bottom_Up-0.xml"
"7c0e88671b4d54c43594fd058487400c794dd429e1f32576b17f1c7b848d0a05","2","TR","0","../data/TraceReplayer-Data/TR168/cgeo.geocaching-2019.02.23/screenshots/cgeo.geocaching.User-Trace.1.cgeo.geocaching_2019.02.23_c:geo1.png","../data/TraceReplayer-Data/TR168/cgeo.geocaching-2019.02.23/Execution-1.json","../data/CrashScope-Data/CS168/cgeo.geocaching-2019.02.23/cgeo.geocaching-2019.02.23-1-Expected-Top_Down-1.xml"
"ab56ac4a31f64d09adb7fd8733f02148084073433c9482b1e6adec8838b75fa7","7","CS","1","../data/CrashScope-Data/CS168/cgeo.geocaching-2019.02.23/screenshots/cgeo.geocaching.Top_Down.Expected..1.cgeo.geocaching_2019.02.23_6.png","../data/CrashScope-Data/CS168/cgeo.geocaching-2019.02.23/Execution-Top_Down-Expected-1.json","../data/CrashScope-Data/CS168/cgeo.geocaching-2019.02.23/cgeo.geocaching-2019.02.23-1-Expected-Top_Down-6.xml"
"c98dae04d9be0f227da5ce5f50856a9e1a46921f1ce629b5882ec1d1683afa41","9","CS","1","../data/CrashScope-Data/CS168/cgeo.geocaching-2019.02.23/screenshots/cgeo.geocaching.Top_Down.Expected..1.cgeo.geocaching_2019.02.23_8.png","../data/CrashScope-Data/CS168/cgeo.geocaching-2019.02.23/Execution-Top_Down-Expected-1.json","../data/CrashScope-Data/CS168/cgeo.geocaching-2019.02.23/cgeo.geocaching-2019.02.23-1-Expected-Top_Down-8.xml"
"ab993843d929b6666c7538ce27643cdb4220861992dfbcdc03e5b4400c2682a7","10","CS","1","../data/CrashScope-Data/CS168/cgeo.geocaching-2019.02.23/screenshots/cgeo.geocaching.Top_Down.Expected..1.cgeo.geocaching_2019.02.23_9.png","../data/CrashScope-Data/CS168/cgeo.geocaching-2019.02.23/Execution-Top_Down-Expected-1.json","../data/CrashScope-Data/CS168/cgeo.geocaching-2019.02.23/cgeo.geocaching-2019.02.23-1-Expected-Top_Down-9.xml"
"e6321255e88e86528f619b27e43ae5fbc8efe605d4dda78b6368f4fe9da5bb3a","20","CS","1","../data/CrashScope-Data/CS168/cgeo.geocaching-2019.02.23/screenshots/cgeo.geocaching.Top_Down.Expected..1.cgeo.geocaching_2019.02.23_19.png","../data/CrashScope-Data/CS168/cgeo.geocaching-2019.02.23/Execution-Top_Down-Expected-1.json","../data/CrashScope-Data/CS168/cgeo.geocaching-2019.02.23/cgeo.geocaching-2019.02.23-1-Expected-Top_Down-19.xml"
"cfbc2977405c970e4519d2213244e4dca67c1446119bb13ef40b5629035ad875","24","CS","1","../data/CrashScope-Data/CS168/cgeo.geocaching-2019.02.23/screenshots/cgeo.geocaching.Top_Down.Expected..1.cgeo.geocaching_2019.02.23_23.png","../data/CrashScope-Data/CS168/cgeo.geocaching-2019.02.23/Execution-Top_Down-Expected-1.json","../data/CrashScope-Data/CS168/cgeo.geocaching-2019.02.23/cgeo.geocaching-2019.02.23-1-Expected-Top_Down-23.xml"
"322bbbb7465636753f17c449b589b25ba057c3860334452397b4deb8f16dd63c","3","TR","0","../data/TraceReplayer-Data/TR168/cgeo.geocaching-2019.02.23/screenshots/cgeo.geocaching.User-Trace.1.cgeo.geocaching_2019.02.23_c:geo2.png","../data/TraceReplayer-Data/TR168/cgeo.geocaching-2019.02.23/Execution-1.json","../data/CrashScope-Data/CS168/cgeo.geocaching-2019.02.23/cgeo.geocaching-2019.02.23-1-Expected-Top_Down-2.xml"
"c4f2e3c4a1feef9623133c92e53b1c9ab623788e484d75bd332e821cdaf438d7","7","TR","0","../data/TraceReplayer-Data/TR168/cgeo.geocaching-2019.02.23/screenshots/cgeo.geocaching.User-Trace.1.cgeo.geocaching_2019.02.23_c:geo8.png","../data/TraceReplayer-Data/TR168/cgeo.geocaching-2019.02.23/Execution-1.json","../data/TraceReplayer-Data/TR168/cgeo.geocaching-2019.02.23/cgeo.geocaching-2019.02.23-1-User-Trace-3.xml"
"338a8a6c65e3fc2fa6014c644279bc81c98198d1919ea673dde86b2967cdd837","29","TR","0","../data/TraceReplayer-Data/TR168/cgeo.geocaching-2019.02.23/screenshots/cgeo.geocaching.User-Trace.1.cgeo.geocaching_2019.02.23_c:geo29.png","../data/TraceReplayer-Data/TR168/cgeo.geocaching-2019.02.23/Execution-1.json","../data/TraceReplayer-Data/TR168/cgeo.geocaching-2019.02.23/cgeo.geocaching-2019.02.23-1-User-Trace-9.xml"
