Participant,Px,Bug_ID,App,Reporting_order,BR_link,text,text_type,missing_screen?
P1,1,DROID-CC6,DROID,1,http://rocco.cs.wm.edu:21203/P1-Droid_Weight-1.5.4-6f6325ac-d8cc-46cf-b37c-b54a6c7fbacf.html,,,
P1,1,DROID-CC6,DROID,1,http://rocco.cs.wm.edu:21203/P1-Droid_Weight-1.5.4-6f6325ac-d8cc-46cf-b37c-b54a6c7fbacf.html,"After clicking on the Add previous comment option, the app has stopped",OB,x
P1,1,DROID-CC6,DROID,1,http://rocco.cs.wm.edu:21203/P1-Droid_Weight-1.5.4-6f6325ac-d8cc-46cf-b37c-b54a6c7fbacf.html,"DroidWeight shouldn't have stopped working after hitting ""Add previous comment""",EB,x
P1,1,DROID-CC6,DROID,1,http://rocco.cs.wm.edu:21203/P1-Droid_Weight-1.5.4-6f6325ac-d8cc-46cf-b37c-b54a6c7fbacf.html,I click on Weight to set current weight in kg,S2R,x
P1,1,DROID-CC6,DROID,1,http://rocco.cs.wm.edu:21203/P1-Droid_Weight-1.5.4-6f6325ac-d8cc-46cf-b37c-b54a6c7fbacf.html,I entered a weight value,S2R,x
P1,1,DROID-CC6,DROID,1,http://rocco.cs.wm.edu:21203/P1-Droid_Weight-1.5.4-6f6325ac-d8cc-46cf-b37c-b54a6c7fbacf.html,I clicked on the Go button,S2R,
P1,1,DROID-CC6,DROID,1,http://rocco.cs.wm.edu:21203/P1-Droid_Weight-1.5.4-6f6325ac-d8cc-46cf-b37c-b54a6c7fbacf.html,I click the button to Set Current Weight in kg,S2R,x
P1,1,DROID-CC6,DROID,1,http://rocco.cs.wm.edu:21203/P1-Droid_Weight-1.5.4-6f6325ac-d8cc-46cf-b37c-b54a6c7fbacf.html,I click the button to Set Current Weight in kg,S2R,x
P1,1,DROID-CC6,DROID,1,http://rocco.cs.wm.edu:21203/P1-Droid_Weight-1.5.4-6f6325ac-d8cc-46cf-b37c-b54a6c7fbacf.html,I clicked on the Weight record,S2R,x
P1,1,DROID-CC6,DROID,1,http://rocco.cs.wm.edu:21203/P1-Droid_Weight-1.5.4-6f6325ac-d8cc-46cf-b37c-b54a6c7fbacf.html,I entered a comment (value = hi),S2R,
