date,participant,app_name,app_version,session_id,reporting_time,reporting_mins,reporting_secs,reporting_millis
08/05/2021 19:30:29,P2,Mileage,3.1.1,12db1054-5db1-49c8-b6f7-65908d0d10de,06 min - 18 sec,6,18,378236
08/05/2021 21:19:33,P3,ATimeTracker,0.20,68d47ee8-2bfb-41ab-907e-510b5c25796d,05 min - 09 sec,5,9,309585
08/05/2021 21:23:44,P3,Android Token,2.10,f2484a32-0343-4c8f-bccf-fe1c46d1ae90,03 min - 56 sec,3,56,236992
08/05/2021 22:24:06,P5,AntennaPod,1.6.2.3,66a95adb-bc34-4759-ae3a-796ba19fd83d,59 min - 39 sec,59,39,3579475
08/05/2021 22:28:41,P4,Grow Tracker,2.3.1,a1b233ef-ec5d-4853-88f3-bc6cf04b6026,04 min - 15 sec,4,15,255559
08/06/2021 16:29:35,P3,Mileage,3.1.1,b4ac8c89-ed99-47b5-946b-1c8f74378743,118 min - 58 sec,118,58,7138253
08/06/2021 16:38:41,P3,Mileage,3.1.1,71b7901e-4e97-4a56-891f-a8e9629df44d,02 min - 43 sec,2,43,163989
08/06/2021 17:17:27,P2,GnuCash,2.1.3,25e04686-5c11-4b81-b83c-c9b4b50917de,11 min - 10 sec,11,10,670623
08/06/2021 17:24:58,P2,Mileage,3.1.1,0c5a0acc-5ed6-42a3-9fd5-8f76c01b74e3,03 min - 20 sec,3,20,200752
08/06/2021 21:26:44,P8,Mileage,3.1.1,b8d4911d-c2be-4366-a8fa-6bce53bbfac2,04 min - 53 sec,4,53,293529
08/06/2021 21:32:49,P8,Mileage,3.1.1,ccdb3ee5-41e9-4c8d-866a-0cc1dab6e1e5,04 min - 52 sec,4,52,292984
08/06/2021 21:42:03,P8,Mileage,3.1.1,2503f2fd-de1c-4bf2-8599-ece50dc407f3,03 min - 43 sec,3,43,223486
08/06/2021 21:49:13,P8,Mileage,3.1.1,f1f6b0e4-f007-42ed-ad8f-bed726ac6f73,06 min - 43 sec,6,43,403226
08/06/2021 21:54:35,P5,Mileage,3.1.1,5e2d211d-6769-4b9e-a15c-bde3c1dfc493,04 min - 36 sec,4,36,276084
08/06/2021 21:55:59,P8,Mileage,3.1.1,7bb21bf8-c24b-4d0e-8c13-8f3aa1cd09e7,06 min - 32 sec,6,32,392114
08/06/2021 22:11:41,P5,Mileage,3.1.1,cf87048b-825b-4f2f-a203-fc5eb62b83c8,05 min - 22 sec,5,22,322618
08/06/2021 22:16:38,P5,GnuCash,2.1.3,d0d9e9ed-fe01-4ea4-a8e5-66de37f20a5b,03 min - 36 sec,3,36,216540
08/06/2021 22:46:48,P1,Mileage,3.1.1,417b588b-a1b3-40c1-8417-716f40c58ca1,15 min - 55 sec,15,55,955792
08/06/2021 23:01:37,P1,Mileage,3.1.1,a39dcd91-514a-4b02-a37e-4fe552bc1c5f,13 min - 16 sec,13,16,796495
08/06/2021 23:07:49,P2,GnuCash,2.1.3,ee1ae6f8-857d-4792-9cc8-ea364bd15e35,10 min - 35 sec,10,35,635162
