date,participant,app_name,app_version,session_id,record_type,max_attempts,current_attempt,confirmation
08/05/2021 17:47:40,P3,GnuCash,2.1.3,87076392-68ec-4950-ad8a-738bf964842b,OB_SCREENS,3,1,y
08/05/2021 18:22:07,P3,ATimeTracker,0.20,e6328e3b-0b63-4e65-ab02-977f8b6875a4,OB_SCREENS,3,1,y
08/05/2021 18:22:33,P3,ATimeTracker,0.20,e6328e3b-0b63-4e65-ab02-977f8b6875a4,EB_NO_MATCH,null,null,y
08/05/2021 18:22:49,P3,ATimeTracker,0.20,e6328e3b-0b63-4e65-ab02-977f8b6875a4,S2R_MATCHED,2,1,y
08/05/2021 19:27:16,P2,Mileage,3.1.1,12db1054-5db1-49c8-b6f7-65908d0d10de,OB_SCREENS,3,1,y
08/05/2021 19:29:56,P2,Mileage,3.1.1,12db1054-5db1-49c8-b6f7-65908d0d10de,S2R_MATCHED,2,1,y
08/05/2021 21:18:27,P3,ATimeTracker,0.20,68d47ee8-2bfb-41ab-907e-510b5c25796d,S2R_MATCHED,2,1,y
08/05/2021 21:18:53,P3,ATimeTracker,0.20,68d47ee8-2bfb-41ab-907e-510b5c25796d,S2R_MATCHED,2,1,n
08/05/2021 21:22:12,P3,Android Token,2.10,f2484a32-0343-4c8f-bccf-fe1c46d1ae90,S2R_MATCHED,2,1,n
08/05/2021 21:22:30,P3,Android Token,2.10,f2484a32-0343-4c8f-bccf-fe1c46d1ae90,S2R_MATCHED,2,1,n
08/05/2021 22:21:16,P5,AntennaPod,1.6.2.3,66a95adb-bc34-4759-ae3a-796ba19fd83d,S2R_MATCHED,2,1,y
08/05/2021 22:23:22,P5,AntennaPod,1.6.2.3,66a95adb-bc34-4759-ae3a-796ba19fd83d,S2R_MATCHED,2,1,y
08/05/2021 22:23:57,P5,AntennaPod,1.6.2.3,66a95adb-bc34-4759-ae3a-796ba19fd83d,S2R_MATCHED,2,1,y
08/05/2021 22:25:05,P4,Grow Tracker,2.3.1,a1b233ef-ec5d-4853-88f3-bc6cf04b6026,OB_SCREENS,3,1,n
08/05/2021 22:25:14,P4,Grow Tracker,2.3.1,a1b233ef-ec5d-4853-88f3-bc6cf04b6026,OB_SCREENS,3,2,y
08/06/2021 16:28:18,P3,Mileage,3.1.1,b4ac8c89-ed99-47b5-946b-1c8f74378743,OB_SCREENS,3,1,y
08/06/2021 16:28:40,P3,Mileage,3.1.1,b4ac8c89-ed99-47b5-946b-1c8f74378743,EB_NO_MATCH,null,null,y
08/06/2021 16:28:56,P3,Mileage,3.1.1,b4ac8c89-ed99-47b5-946b-1c8f74378743,S2R_MATCHED,2,1,n
08/06/2021 16:33:36,P3,Mileage,3.1.1,d84f4932-3d93-4ddc-ab90-d05fc1b8e819,OB_SCREENS,3,1,y
08/06/2021 16:34:13,P3,Mileage,3.1.1,d84f4932-3d93-4ddc-ab90-d05fc1b8e819,S2R_MATCHED,2,1,y
08/06/2021 16:34:32,P3,Mileage,3.1.1,d84f4932-3d93-4ddc-ab90-d05fc1b8e819,S2R_MATCHED,2,1,n
08/06/2021 16:35:06,P3,Mileage,3.1.1,d84f4932-3d93-4ddc-ab90-d05fc1b8e819,S2R_MATCHED,2,1,y
08/06/2021 16:36:46,P3,Mileage,3.1.1,71b7901e-4e97-4a56-891f-a8e9629df44d,OB_SCREENS,3,1,y
08/06/2021 16:37:03,P3,Mileage,3.1.1,71b7901e-4e97-4a56-891f-a8e9629df44d,EB_NO_MATCH,null,null,y
08/06/2021 16:37:12,P3,Mileage,3.1.1,71b7901e-4e97-4a56-891f-a8e9629df44d,S2R_MATCHED,2,1,y
