"config","bug_id","app_name_version","ground_truth_states","retrieved_states","num_states"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","2","familyfinance#1.5.5-DEBUG","[-560313656]","[]","37"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","8","trickytripper#1.6.0","[1084950948]","[]","33"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","10","files#1.0.0-beta.11","[-1890183026]","[]","66"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","18","calendula#2.5.7","[658595597]","[]","49"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","44","omninotes#5.5.2","[-2142231540]","[]","19"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","71","kiss#3.13.5","[-106012129,  965936953, 471498532]","[]","26"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","117","openfoodfacts#2.9.8","[2132718311]","[]","37"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","128","andotp#0.7.1.1-dev","[1237792366, 310762316]","[]","36"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","129","andotp#0.7.0-dev","[1336926763]","[]","24"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","130","andotp#0.6.3.1-dev","[-29424041]","[]","26"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","191","anuto#0.2-1","[1615631188]","[]","5"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","206","gnucash#2.1.3","[-6302601]","[]","66"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","209","gnucash#2.2.0","[957754428]","[]","65"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","256","gnucash#2.1.4","[964742698]","[]","43"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","1073","focus#5.2","[170813981]","[]","45"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","1096","inaturalist#1.13.9","[411379245]","[]","41"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","1146","gpstest#3.8.0","[-1649118866]","[]","19"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","1147","gpstest#3.0.0","[-1478844228]","[]","16"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","1151","gpstest#3.0.1","[-1697176963]","[]","12"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","1202","createpdf#6.6.0","[164409849]","[]","44"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","1205","createpdf#8.5.7","[-216144461, -850451593, -1452222840, -2018771725]","[]","59"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","1207","andotp#0.4.0.1","[-1486269566]","[]","28"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","1223","gnucash#2.2.0","[-1456928293]","[]","67"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","1224","gnucash#2.1.3","[-1294931745, -415893334, -638948281]","[]","65"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","1226","gnucash#2.1.4","[1006317146]","[]","60"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","1299","fieldbook#4.3.3","[725627353]","[]","24"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","1399","phimpme#1.4.0","[992092840]","[]","25"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","1430","fastnfitness#0.19.0.1","[-1589521620, 1964956963]","[]","20"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","1441","anglerslog#1.2.5","[-200778862]","[]","55"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","1445","anglerslog#1.3.1","[-1556075131]","[]","39"
"MANUAL_EL-ORIGINAL_BR-PHRASES_SBERT_BURT","1481","hex#0.1.0","[-392052975]","[]","40"
